Topic,Characteristics,Note,Total,Flag_Total,Male,Flag_Male,Female,Flag_Female,Total,Flag_Total,Male,Flag_Male,Female,Flag_Female
Commuting duration,  15 to 29 minutes,NA,354570,NA,183060,,171510,,354570,NA,183060,,171510,
Commuting duration,  30 to 44 minutes,NA,359230,NA,189620,,169610,,359230,NA,189620,,169610,
Commuting duration,  45 to 59 minutes,NA,181675,NA,90685,,90990,,181675,NA,90685,,90990,
Commuting duration,  60 minutes and over,NA,202830,NA,101320,,101510,,202830,NA,101320,,101510,
Time leaving for work,Total - Time leaving for work for the employed labour force aged 15 years and over in private households with a usual place of work or no fixed workplace address - 25% sample data,177,1251055,NA,639400,,611655,,1251055,NA,639400,,611655,
Time leaving for work,  Between 5 a.m. and 5:59 a.m.,NA,56235,NA,38495,,17740,,56235,NA,38495,,17740,
Time leaving for work,  Between 6 a.m. and 6:59 a.m.,NA,162435,NA,96815,,65620,,162435,NA,96815,,65620,
Time leaving for work,  Between 7 a.m. and 7:59 a.m.,NA,305355,NA,146795,,158560,,305355,NA,146795,,158560,
Time leaving for work,  Between 8 a.m. and 8:59 a.m.,NA,335840,NA,156755,,179085,,335840,NA,156755,,179085,
Time leaving for work,  Between 9 a.m. and 11:59 a.m.,NA,200780,NA,97300,,103480,,200780,NA,97300,,103480,
Time leaving for work,  Between 12 p.m. and 4:59 a.m.,NA,190410,NA,103240,,87165,,190410,NA,103240,,87165,
Language used most often at work,Total - Language used most often at work for the population in private households aged 15 years and over who worked since January 1; 2015 - 25% sample data,178,1559535,NA,792290,,767240,,1559535,NA,792290,,767240,
Language used most often at work,  Single responses,NA,1522980,NA,774885,,748100,,1522980,NA,774885,,748100,
Language used most often at work,    Official languages,NA,1476170,NA,749750,,726425,,1476170,NA,749750,,726425,
Language used most often at work,      English,NA,1469910,NA,747820,,722090,,1469910,NA,747820,,722090,
Language used most often at work,      French,NA,6255,NA,1925,,4330,,6255,NA,1925,,4330,
Language used most often at work,    Non-official languages,NA,46810,NA,25135,,21675,,46810,NA,25135,,21675,
Language used most often at work,      Aboriginal languages,NA,10,NA,10,,0,,10,NA,10,,0,
Language used most often at work,        Algonquian languages,NA,10,NA,0,,10,,10,NA,0,,10,
Language used most often at work,          Blackfoot,NA,0,NA,0,,0,,0,NA,0,,0,
Language used most often at work,          Cree-Montagnais languages,NA,10,NA,0,,0,,10,NA,0,,0,
Language used most often at work,            Atikamekw,NA,0,NA,0,,0,,0,NA,0,,0,
Language used most often at work,            Montagnais (Innu),NA,0,NA,0,,0,,0,NA,0,,0,
Language used most often at work,            Moose Cree,NA,0,NA,0,,0,,0,NA,0,,0,
Language used most often at work,            Naskapi,NA,0,NA,0,,0,,0,NA,0,,0,
Language used most often at work,            Northern East Cree,NA,0,NA,0,,0,,0,NA,0,,0,
Language used most often at work,            Plains Cree,NA,0,NA,0,,0,,0,NA,0,,0,
Language used most often at work,            Southern East Cree,NA,0,NA,0,,0,,0,NA,0,,0,
Language used most often at work,            Swampy Cree,NA,0,NA,0,,0,,0,NA,0,,0,
Language used most often at work,            Woods Cree,NA,10,NA,0,,0,,10,NA,0,,0,
Language used most often at work,            Cree; n.o.s.,NA,0,NA,0,,0,,0,NA,0,,0,
Language used most often at work,          Eastern Algonquian languages,NA,0,NA,0,,0,,0,NA,0,,0,
Language used most often at work,            Malecite,NA,0,NA,0,,0,,0,NA,0,,0,
Language used most often at work,            Mi'kmaq,NA,0,NA,0,,0,,0,NA,0,,0,
Language used most often at work,          Ojibway-Potawatomi languages,NA,0,NA,0,,0,,0,NA,0,,0,
Language used most often at work,            Algonquin,NA,0,NA,0,,0,,0,NA,0,,0,
Language used most often at work,            Ojibway,NA,0,NA,0,,0,,0,NA,0,,0,
Language used most often at work,            Oji-Cree,NA,0,NA,0,,0,,0,NA,0,,0,
Language used most often at work,            Ottawa (Odawa),NA,0,NA,0,,0,,0,NA,0,,0,
Language used most often at work,          Algonquian languages; n.i.e.,NA,0,NA,0,,0,,0,NA,0,,0,
Language used most often at work,        Athabaskan languages,NA,0,NA,0,,0,,0,NA,0,,0,
Language used most often at work,          Northern Athabaskan languages,NA,0,NA,0,,0,,0,NA,0,,0,
Language used most often at work,            Babine (Wetsuwet'en),NA,0,NA,0,,0,,0,NA,0,,0,
Language used most often at work,            Beaver,NA,0,NA,0,,0,,0,NA,0,,0,
Language used most often at work,            Carrier,NA,0,NA,0,,0,,0,NA,0,,0,
Language used most often at work,            Chilcotin,NA,0,NA,0,,0,,0,NA,0,,0,
Language used most often at work,            Dene,NA,0,NA,0,,0,,0,NA,0,,0,
Language used most often at work,            Dogrib (Tlicho),NA,0,NA,0,,0,,0,NA,0,,0,
Language used most often at work,            Gwich'in,NA,0,NA,0,,0,,0,NA,0,,0,
Language used most often at work,            Sarsi (Sarcee),NA,0,NA,0,,0,,0,NA,0,,0,
Language used most often at work,            Sekani,NA,0,NA,0,,0,,0,NA,0,,0,
Language used most often at work,            Slavey-Hare languages,NA,0,NA,0,,0,,0,NA,0,,0,
Language used most often at work,              North Slavey (Hare),NA,0,NA,0,,0,,0,NA,0,,0,
Language used most often at work,              South Slavey,NA,0,NA,0,,0,,0,NA,0,,0,
Language used most often at work,              Slavey; n.o.s.,NA,0,NA,0,,0,,0,NA,0,,0,
Language used most often at work,            Tahltan languages,NA,0,NA,0,,0,,0,NA,0,,0,
Language used most often at work,              Kaska (Nahani),NA,0,NA,0,,0,,0,NA,0,,0,
Language used most often at work,              Tahltan,NA,0,NA,0,,0,,0,NA,0,,0,
Language used most often at work,            Tutchone languages,NA,0,NA,0,,0,,0,NA,0,,0,
Language used most often at work,              Northern Tutchone,NA,0,NA,0,,0,,0,NA,0,,0,
Language used most often at work,              Southern Tutchone,NA,0,NA,0,,0,,0,NA,0,,0,
Language used most often at work,          Athabaskan languages; n.i.e.,NA,0,NA,0,,0,,0,NA,0,,0,
Language used most often at work,        Haida,NA,0,NA,0,,0,,0,NA,0,,0,
Language used most often at work,        Inuit languages,NA,0,NA,0,,0,,0,NA,0,,0,
Language used most often at work,          Inuinnaqtun (Inuvialuktun),NA,0,NA,0,,0,,0,NA,0,,0,
Language used most often at work,          Inuktitut,NA,0,NA,0,,0,,0,NA,0,,0,
Language used most often at work,          Inuit languages; n.i.e.,NA,0,NA,0,,0,,0,NA,0,,0,
Language used most often at work,        Iroquoian languages,NA,0,NA,0,,0,,0,NA,0,,0,
Language used most often at work,          Cayuga,NA,0,NA,0,,0,,0,NA,0,,0,
Language used most often at work,          Mohawk,NA,0,NA,0,,0,,0,NA,0,,0,
Language used most often at work,          Oneida,NA,0,NA,0,,0,,0,NA,0,,0,
Language used most often at work,          Iroquoian languages; n.i.e.,NA,0,NA,0,,0,,0,NA,0,,0,
Language used most often at work,        Kutenai,NA,0,NA,0,,0,,0,NA,0,,0,
Language used most often at work,        Michif,NA,0,NA,0,,0,,0,NA,0,,0,
Language used most often at work,        Salish languages,NA,0,NA,0,,0,,0,NA,0,,0,
Language used most often at work,          Comox,NA,0,NA,0,,0,,0,NA,0,,0,
Language used most often at work,          Halkomelem,NA,0,NA,0,,0,,0,NA,0,,0,
Language used most often at work,          Lillooet,NA,0,NA,0,,0,,0,NA,0,,0,
Language used most often at work,          Okanagan,NA,0,NA,0,,0,,0,NA,0,,0,
Language used most often at work,          Shuswap (Secwepemctsin),NA,0,NA,0,,0,,0,NA,0,,0,
Language used most often at work,          Squamish,NA,0,NA,0,,0,,0,NA,0,,0,
Language used most often at work,          Straits,NA,0,NA,0,,0,,0,NA,0,,0,
Language used most often at work,          Thompson (Ntlakapamux),NA,0,NA,0,,0,,0,NA,0,,0,
Language used most often at work,          Salish languages; n.i.e.,NA,0,NA,0,,0,,0,NA,0,,0,
Language used most often at work,        Siouan languages,NA,0,NA,0,,0,,0,NA,0,,0,
Language used most often at work,          Dakota,NA,0,NA,0,,0,,0,NA,0,,0,
Language used most often at work,          Stoney,NA,0,NA,0,,0,,0,NA,0,,0,
Language used most often at work,          Siouan languages; n.i.e.,NA,0,NA,0,,0,,0,NA,0,,0,
Language used most often at work,        Tlingit,NA,0,NA,0,,0,,0,NA,0,,0,
Language used most often at work,        Tsimshian languages,NA,0,NA,0,,0,,0,NA,0,,0,
Language used most often at work,          Gitxsan (Gitksan),NA,0,NA,0,,0,,0,NA,0,,0,
Language used most often at work,          Nisga'a,NA,0,NA,0,,0,,0,NA,0,,0,
Language used most often at work,          Tsimshian,NA,0,NA,0,,0,,0,NA,0,,0,
Language used most often at work,        Wakashan languages,NA,0,NA,10,,0,,0,NA,10,,0,
Language used most often at work,          Haisla,NA,0,NA,0,,0,,0,NA,0,,0,
Language used most often at work,          Heiltsuk,NA,0,NA,0,,0,,0,NA,0,,0,
Language used most often at work,          Kwakiutl (Kwak'wala),NA,0,NA,0,,0,,0,NA,0,,0,
Language used most often at work,          Nuu-chah-nulth (Nootka),NA,0,NA,0,,0,,0,NA,0,,0,
Language used most often at work,          Wakashan languages; n.i.e.,NA,0,NA,0,,0,,0,NA,0,,0,
Language used most often at work,        Aboriginal languages; n.o.s.,NA,0,NA,0,,0,,0,NA,0,,0,
Language used most often at work,      Non-Aboriginal languages,NA,46805,NA,25130,,21675,,46805,NA,25130,,21675,
Language used most often at work,        Afro-Asiatic languages,NA,1030,NA,620,,405,,1030,NA,620,,405,
Language used most often at work,          Berber languages,NA,0,NA,0,,0,,0,NA,0,,0,
Language used most often at work,            Kabyle,NA,0,NA,0,,0,,0,NA,0,,0,
Language used most often at work,            Berber languages; n.i.e.,NA,0,NA,0,,0,,0,NA,0,,0,
Language used most often at work,          Cushitic languages,NA,95,NA,40,,50,,95,NA,40,,50,
Language used most often at work,            Bilen,NA,0,NA,0,,0,,0,NA,0,,0,
Language used most often at work,            Oromo,NA,20,NA,10,,10,,20,NA,10,,10,
Language used most often at work,            Somali,NA,80,NA,35,,40,,80,NA,35,,40,
Language used most often at work,            Cushitic languages; n.i.e.,NA,0,NA,0,,0,,0,NA,0,,0,
Language used most often at work,          Semitic languages,NA,930,NA,580,,350,,930,NA,580,,350,
Language used most often at work,            Amharic,NA,55,NA,20,,35,,55,NA,20,,35,
Language used most often at work,            Arabic,NA,560,NA,385,,180,,560,NA,385,,180,
Language used most often at work,            Assyrian Neo-Aramaic,NA,85,NA,75,,15,,85,NA,75,,15,
Language used most often at work,            Chaldean Neo-Aramaic,NA,0,NA,0,,0,,0,NA,0,,0,
Language used most often at work,            Harari,NA,0,NA,0,,0,,0,NA,0,,0,
Language used most often at work,            Hebrew,NA,160,NA,60,,100,,160,NA,60,,100,
Language used most often at work,            Maltese,NA,25,NA,15,,10,,25,NA,15,,10,
Language used most often at work,            Tigrigna,NA,40,NA,20,,15,,40,NA,20,,15,
Language used most often at work,            Semitic languages; n.i.e.,NA,0,NA,0,,0,,0,NA,0,,0,
Language used most often at work,          Afro-Asiatic languages; n.i.e.,NA,10,NA,0,,10,,10,NA,0,,10,
Language used most often at work,        Austro-Asiatic languages,NA,1055,NA,460,,595,,1055,NA,460,,595,
Language used most often at work,          Khmer (Cambodian),NA,40,NA,25,,15,,40,NA,25,,15,
Language used most often at work,          Vietnamese,NA,1020,NA,435,,585,,1020,NA,435,,585,
Language used most often at work,          Austro-Asiatic languages; n.i.e,NA,0,NA,0,,0,,0,NA,0,,0,
Language used most often at work,        Austronesian languages,NA,635,NA,235,,400,,635,NA,235,,400,
